date,p,n
2024-04-05,0.405,
2024-04-21,0.39,
2024-05-01,0.405,
2024-05-11,0.405,
2024-05-20,0.4,
2024-06-01,0.405,
2024-06-07,0.405,
2024-06-18,0.405,
2024-06-25,0.405,
2024-07-03,0.405,
2024-07-09,0.405,
2024-07-16,0.405,
2024-07-20,0.405,
2024-08-07,0.425,
2024-08-14,0.37,
2024-08-24,0.325,
2024-08-29,0.32,
2024-09-10,0.365,
2024-09-18,0.37,
2024-09-21,0.37,
2024-10-09,0.38,
2024-10-16,0.375,
2024-10-23,0.355,
2024-10-30,0.425,
2024-11-06,0.49,
2024-11-11,0.46,
2024-11-20,0.45,
2024-11-24,0.49,
2024-12-04,0.49,
2024-12-11,0.52,
2024-12-18,0.52,
2024-12-25,0.62,
2025-01-01,0.605,
2025-01-08,0.58,
2025-01-14,0.575,
2025-01-21,0.6,
2025-01-29,0.55,
2025-02-04,0.565,
2025-02-10,0.575,
2025-02-17,0.635,
2025-02-25,0.63,
2025-03-05,0.64,
2025-03-11,0.645,
2025-03-18,0.635,
2025-03-25,0.625,
2025-04-02,0.625,
2025-04-09,0.635,
2025-04-16,0.635,
2025-04-21,0.63,
2025-04-30,0.63,
2025-05-07,0.615,
2025-05-14,0.585,
2025-05-21,0.565,
2025-05-28,0.565,
2025-06-04,0.545,
2025-06-11,0.545,
2025-06-18,0.545,
2025-06-25,0.555,
2025-07-02,0.56,
2025-07-09,0.515,
2025-07-16,0.52,
2025-07-23,0.5,
2025-07-30,0.515,
2025-08-06,0.53,
2025-08-13,0.495,
2025-08-20,0.49,
2025-08-27,0.485,
2025-09-03,0.53,
2025-09-10,0.545,
2025-09-17,0.5,
2025-09-24,0.53,
2025-10-01,0.495,
2025-10-08,0.475,
2025-10-15,0.47,
2025-10-22,0.465,
2025-10-29,0.465,
2025-11-05,0.44,
2025-11-12,0.45,
2025-11-19,0.435,
2025-11-26,0.41,
2025-12-03,0.395,
2025-12-10,0.39,
2025-12-17,0.4,
2025-12-24,0.4,
2025-12-31,0.4,
2026-01-07,0.385,
2026-01-14,0.395,
2026-01-21,0.395,
2026-01-28,0.395,
2026-02-04,0.39,
2026-02-11,0.4,
2026-02-18,0.43,
2026-02-25,0.445,
2026-03-04,0.44,
2026-03-11,0.45,
2026-03-18,0.435,
2026-03-25,0.476,
2026-04-01,0.525,
2026-04-08,0.575,
2026-04-15,0.615,
2026-04-22,0.61,
2026-04-29,0.565,
2026-05-06,0.515,
2026-05-13,0.524,
2026-05-20,0.45,
2026-05-27,0.49,
2026-06-03,0.461,
2026-06-10,0.46,
2026-06-17,0.455,
2026-06-24,0.443,
2026-07-01,0.397,
2026-07-08,0.394,
2026-07-15,0.381,
2026-07-22,0.394,
2026-07-29,0.395,
2026-08-05,0.395,
2026-08-11,0.393,
2026-08-19,0.445,
2026-08-26,0.397,
2026-09-02,0.624,
2026-09-09,0.715,
2026-09-16,0.645,
2026-09-23,0.66,
2026-09-24,0.681,193502
2026-09-25,0.6695,193508.79
2026-09-26,0.67,193509.79
