date,p,n
2025-08-28,0.09,
2025-10-03,0.09,
2025-10-15,0.12,
2025-10-22,0.11,
2025-11-04,0.11,
2025-11-08,0.12,
2025-11-19,0.1,
2025-12-02,0.1,
2025-12-07,0.09,
2025-12-17,0.12,
2025-12-30,0.12,
2026-01-03,0.125,
2026-01-14,0.12,
2026-01-20,0.12,
2026-02-04,0.14,
2026-02-11,0.1,
2026-02-18,0.11,
2026-02-24,0.1,
2026-04-08,0.1,
2026-04-13,0.09,
2026-04-20,0.1,
2026-04-29,0.09,
2026-05-04,0.1,
2026-05-20,0.1,
2026-05-27,0.11,
2026-06-26,0.11,
2026-07-05,0.117,
2026-07-12,0.117,
2026-07-19,0.11,
2026-07-28,0.11,
2026-08-04,0.1,
2026-09-24,0.1,84
