date,p,n
2023-07-06,0.7,
2023-07-13,0.781,
2023-07-20,0.764,
2023-07-27,0.751,
2023-08-03,0.77,
2023-08-10,0.77,
2023-08-17,0.77,
2023-08-24,0.77,
2023-08-31,0.77,
2023-09-07,0.758,
2023-09-14,0.758,
2023-09-21,0.758,
2023-09-28,0.758,
2023-10-05,0.758,
2023-10-12,0.758,
2023-10-19,0.747,
2023-10-26,0.747,
2023-11-02,0.747,
2023-11-09,0.747,
2023-11-16,0.735,
2023-11-23,0.706,
2023-11-30,0.706,
2023-12-07,0.706,
2023-12-14,0.706,
2023-12-21,0.706,
2023-12-28,0.706,
2024-01-04,0.706,
2024-01-11,0.77,
2024-01-18,0.772,
2024-01-25,0.772,
2024-02-01,0.772,
2024-02-08,0.761,
2024-02-15,0.761,
2024-02-22,0.761,
2024-02-29,0.761,
2024-03-07,0.761,
2024-03-14,0.761,
2024-03-21,0.761,
2024-03-28,0.761,
2024-04-04,0.761,
2024-04-11,0.761,
2024-04-18,0.761,
2024-04-25,0.761,
2024-05-02,0.782,
2024-05-09,0.782,
2024-05-16,0.782,
2024-05-23,0.782,
2024-05-30,0.782,
2024-06-06,0.782,
2024-06-13,0.782,
2024-06-20,0.782,
2024-06-27,0.782,
2024-07-04,0.782,
2024-07-11,0.782,
2024-07-18,0.782,
2024-07-25,0.782,
2024-08-01,0.782,
2024-08-08,0.782,
2024-08-15,0.782,
2024-08-22,0.782,
2024-08-29,0.782,
2024-09-05,0.782,
2024-09-12,0.782,
2024-09-19,0.782,
2024-09-26,0.782,
2024-10-03,0.782,
2024-10-10,0.782,
2024-10-17,0.782,
2024-10-24,0.782,
2024-10-31,0.782,
2024-11-07,0.782,
2024-11-14,0.782,
2024-11-21,0.782,
2024-11-28,0.782,
2024-12-05,0.782,
2024-12-12,0.782,
2024-12-19,0.782,
2024-12-26,0.782,
2025-01-02,0.782,
2025-01-09,0.782,
2025-01-16,0.782,
2025-01-23,0.782,
2025-01-30,0.782,
2025-02-06,0.782,
2025-02-13,0.782,
2025-02-20,0.782,
2025-02-27,0.782,
2025-03-06,0.782,
2025-03-13,0.781,
2025-03-20,0.781,
2025-03-27,0.781,
2025-04-03,0.781,
2025-04-10,0.781,
2025-04-17,0.781,
2025-04-24,0.781,
2025-05-01,0.781,
2025-05-08,0.781,
2025-05-15,0.781,
2025-05-22,0.8,
2025-05-29,0.8,
2025-06-05,0.8,
2025-06-12,0.8,
2025-06-19,0.8,
2025-06-26,0.8,
2025-07-03,0.8,
2025-07-10,0.8,
2025-07-17,0.8,
2025-07-24,0.8,
2025-07-31,0.8,
2025-08-07,0.8,
2025-08-14,0.8,
2025-08-21,0.8,
2025-08-28,0.8,
2025-09-04,0.8,
2025-09-11,0.8,
2025-09-18,0.8,
2025-09-25,0.8,
2025-10-02,0.808,
2025-10-09,0.796,
2025-10-16,0.796,
2025-10-23,0.796,
2025-10-30,0.796,
2025-11-06,0.796,
2025-11-13,0.796,
2025-11-20,0.796,
2025-11-27,0.796,
2025-12-04,0.796,
2025-12-11,0.796,
2025-12-18,0.796,
2025-12-25,0.796,
2026-01-01,0.796,
2026-01-08,0.796,
2026-01-15,0.796,
2026-01-22,0.796,
2026-01-29,0.796,
2026-02-05,0.796,
2026-02-12,0.796,
2026-02-19,0.796,
2026-02-26,0.796,
2026-03-05,0.796,
2026-03-12,0.804,
2026-03-19,0.804,
2026-03-26,0.804,
2026-04-02,0.804,
2026-04-09,0.804,
2026-04-16,0.804,
2026-04-23,0.804,
2026-04-30,0.804,
2026-05-07,0.804,
2026-05-14,0.804,
2026-05-21,0.804,
2026-05-28,0.804,
2026-06-04,0.804,
2026-06-11,0.804,
2026-06-18,0.804,
2026-06-25,0.804,
2026-07-02,0.804,
2026-07-09,0.804,
2026-07-16,0.807,
2026-07-23,0.807,
2026-07-30,0.807,
2026-08-06,0.807,
2026-08-13,0.807,
2026-08-20,0.807,
2026-08-27,0.807,
2026-09-03,0.807,
2026-09-10,0.807,
2026-09-17,0.807,
2026-09-24,0.807,40
2026-09-25,0.8073,40
