date,p,n
2026-03-19,0.167,
2026-03-26,0.203,
2026-04-02,0.236,
2026-04-09,0.3,
2026-04-16,0.3,
2026-04-23,0.3,
2026-04-30,0.3,
2026-05-07,0.3,
2026-05-14,0.181,
2026-05-21,0.181,
2026-05-28,0.181,
2026-06-04,0.181,
2026-06-11,0.181,
2026-06-18,0.181,
2026-06-25,0.181,
2026-07-02,0.181,
2026-07-09,0.181,
2026-07-16,0.181,
2026-07-23,0.181,
2026-07-30,0.181,
2026-08-06,0.181,
2026-08-13,0.866,
2026-08-20,0.866,
2026-08-27,0.866,
2026-09-03,0.866,
2026-09-10,0.866,
2026-09-17,0.762,
2026-09-24,0.575,16
2026-09-25,0.57506,16
2026-09-26,0.57506,16
