date,p,n
2025-06-05,0.19,
2025-06-12,0.19,
2025-06-19,0.19,
2025-06-26,0.19,
2025-07-03,0.19,
2025-07-10,0.19,
2025-07-17,0.19,
2025-07-24,0.19,
2025-07-31,0.19,
2025-08-07,0.19,
2025-08-14,0.19,
2025-08-21,0.19,
2025-08-28,0.19,
2025-09-04,0.19,
2025-09-11,0.19,
2025-09-18,0.19,
2025-09-25,0.19,
2025-10-02,0.19,
2025-10-09,0.19,
2025-10-16,0.19,
2025-10-23,0.196,
2025-10-30,0.196,
2025-11-06,0.196,
2025-11-13,0.196,
2025-11-20,0.196,
2025-11-27,0.196,
2025-12-04,0.196,
2025-12-11,0.196,
2025-12-18,0.196,
2025-12-25,0.196,
2026-01-01,0.196,
2026-01-08,0.196,
2026-01-15,0.196,
2026-01-22,0.196,
2026-01-29,0.196,
2026-02-05,0.196,
2026-02-12,0.196,
2026-02-19,0.196,
2026-02-26,0.2,
2026-03-05,0.2,
2026-03-12,0.195,
2026-03-19,0.195,
2026-03-26,0.195,
2026-04-02,0.195,
2026-04-09,0.195,
2026-04-16,0.195,
2026-04-23,0.195,
2026-04-30,0.195,
2026-05-07,0.23,
2026-05-14,0.23,
2026-05-21,0.226,
2026-05-28,0.243,
2026-06-04,0.24,
2026-06-11,0.261,
2026-06-18,0.261,
2026-06-25,0.261,
2026-07-02,0.261,
2026-07-09,0.261,
2026-07-16,0.261,
2026-07-23,0.261,
2026-07-30,0.261,
2026-08-06,0.31,
2026-08-13,0.31,
2026-08-20,0.31,
2026-08-27,0.31,
2026-09-03,0.31,
2026-09-10,0.31,
2026-09-17,0.425,
2026-09-24,0.425,23
2026-09-25,0.42503,23
