date,p,n
2022-10-27,0.106,
2022-11-03,0.106,
2022-11-10,0.106,
2022-11-17,0.106,
2022-11-24,0.101,
2022-12-01,0.144,
2022-12-08,0.147,
2022-12-15,0.147,
2022-12-22,0.18,
2022-12-29,0.194,
2023-01-05,0.194,
2023-01-12,0.194,
2023-01-19,0.194,
2023-01-26,0.182,
2023-02-02,0.182,
2023-02-09,0.157,
2023-02-16,0.157,
2023-02-23,0.157,
2023-03-02,0.151,
2023-03-09,0.137,
2023-03-16,0.226,
2023-03-23,0.28,
2023-03-30,0.28,
2023-04-06,0.28,
2023-04-13,0.267,
2023-04-20,0.267,
2023-04-27,0.302,
2023-05-04,0.301,
2023-05-11,0.301,
2023-05-18,0.301,
2023-05-25,0.28,
2023-06-01,0.28,
2023-06-08,0.28,
2023-06-15,0.283,
2023-06-22,0.283,
2023-06-29,0.275,
2023-07-06,0.275,
2023-07-13,0.275,
2023-07-20,0.275,
2023-07-27,0.275,
2023-08-03,0.275,
2023-08-10,0.275,
2023-08-17,0.275,
2023-08-24,0.275,
2023-08-31,0.275,
2023-09-07,0.216,
2023-09-14,0.216,
2023-09-21,0.215,
2023-09-28,0.215,
2023-10-05,0.207,
2023-10-12,0.201,
2023-10-19,0.201,
2023-10-26,0.201,
2023-11-02,0.187,
2023-11-09,0.216,
2023-11-16,0.216,
2023-11-23,0.216,
2023-11-30,0.253,
2023-12-07,0.253,
2023-12-14,0.253,
2023-12-21,0.253,
2023-12-28,0.253,
2024-01-04,0.253,
2024-01-11,0.222,
2024-01-18,0.222,
2024-01-25,0.222,
2024-02-01,0.222,
2024-02-08,0.222,
2024-02-15,0.222,
2024-02-22,0.222,
2024-02-29,0.222,
2024-03-07,0.222,
2024-03-14,0.222,
2024-03-21,0.222,
2024-03-28,0.222,
2024-04-04,0.222,
2024-04-11,0.222,
2024-04-18,0.192,
2024-04-25,0.192,
2024-05-02,0.192,
2024-05-09,0.192,
2024-05-16,0.207,
2024-05-23,0.207,
2024-05-30,0.235,
2024-06-06,0.235,
2024-06-13,0.235,
2024-06-20,0.235,
2024-06-27,0.261,
2024-07-04,0.257,
2024-07-11,0.257,
2024-07-18,0.257,
2024-07-25,0.257,
2024-08-01,0.288,
2024-08-08,0.295,
2024-08-15,0.295,
2024-08-22,0.295,
2024-08-29,0.295,
2024-09-05,0.295,
2024-09-12,0.295,
2024-09-19,0.269,
2024-09-26,0.269,
2024-10-03,0.269,
2024-10-10,0.269,
2024-10-17,0.269,
2024-10-24,0.269,
2024-10-31,0.269,
2024-11-07,0.269,
2024-11-14,0.269,
2024-11-21,0.269,
2024-11-28,0.269,
2024-12-05,0.286,
2024-12-12,0.286,
2024-12-19,0.286,
2024-12-26,0.286,
2025-01-02,0.286,
2025-01-09,0.286,
2025-01-16,0.286,
2025-01-23,0.286,
2025-01-30,0.286,
2025-02-06,0.286,
2025-02-13,0.335,
2025-02-20,0.289,
2025-02-27,0.289,
2025-03-06,0.289,
2025-03-13,0.289,
2025-03-20,0.289,
2025-03-27,0.289,
2025-04-03,0.231,
2025-04-10,0.159,
2025-04-17,0.157,
2025-04-24,0.157,
2025-05-01,0.157,
2025-05-08,0.157,
2025-05-15,0.157,
2025-05-22,0.157,
2025-05-29,0.157,
2025-06-05,0.157,
2025-06-12,0.157,
2025-06-19,0.157,
2025-06-26,0.157,
2025-07-03,0.157,
2025-07-10,0.157,
2025-07-17,0.157,
2025-07-24,0.157,
2025-07-31,0.157,
2025-08-07,0.157,
2025-08-14,0.157,
2025-08-21,0.157,
2025-08-28,0.157,
2025-09-04,0.157,
2025-09-11,0.157,
2025-09-18,0.157,
2025-09-25,0.157,
2025-10-02,0.149,
2025-10-09,0.149,
2025-10-16,0.153,
2025-10-23,0.153,
2025-10-30,0.153,
2025-11-06,0.179,
2025-11-13,0.179,
2025-11-20,0.179,
2025-11-27,0.179,
2025-12-04,0.179,
2025-12-11,0.179,
2025-12-18,0.179,
2025-12-25,0.184,
2026-01-01,0.184,
2026-01-08,0.184,
2026-01-15,0.184,
2026-01-22,0.059,
2026-01-29,0.063,
2026-02-05,0.063,
2026-02-12,0.063,
2026-02-19,0.063,
2026-02-26,0.063,
2026-03-05,0.063,
2026-03-12,0.063,
2026-03-19,0.063,
2026-03-26,0.063,
2026-04-02,0.063,
2026-04-09,0.063,
2026-04-16,0.063,
2026-04-23,0.063,
2026-04-30,0.063,
2026-05-07,0.063,
2026-05-14,0.063,
2026-05-21,0.063,
2026-05-28,0.063,
2026-06-04,0.063,
2026-06-11,0.063,
2026-06-18,0.063,
2026-06-25,0.063,
2026-07-02,0.063,
2026-07-09,0.063,
2026-07-16,0.063,
2026-07-23,0.063,
2026-07-30,0.123,
2026-08-06,0.167,
2026-08-13,0.206,
2026-08-20,0.275,
2026-08-27,0.192,
2026-09-03,0.177,
2026-09-10,0.083,
2026-09-17,0.136,
2026-09-24,0.171,87
