date,p,n
2025-10-29,0.195,
2025-11-05,0.185,
2025-11-12,0.18,
2025-11-19,0.16,
2025-11-26,0.16,
2025-12-03,0.14,
2025-12-10,0.145,
2025-12-17,0.15,
2025-12-24,0.13,
2025-12-31,0.085,
2026-01-07,0.085,
2026-01-14,0.085,
2026-01-21,0.095,
2026-01-28,0.09,
2026-02-04,0.13,
2026-02-11,0.15,
2026-02-17,0.135,
2026-02-25,0.125,
2026-03-04,0.125,
2026-03-11,0.175,
2026-03-18,0.165,
2026-03-25,0.24,
2026-04-05,0.245,
2026-04-12,0.23,
2026-04-22,0.21,
2026-04-29,0.145,
2026-05-06,0.105,
2026-05-13,0.135,
2026-05-20,0.12,
2026-05-27,0.125,
2026-06-03,0.125,
2026-06-10,0.125,
2026-06-17,0.13,
2026-06-24,0.115,
2026-07-01,0.085,
2026-07-08,0.075,
2026-07-15,0.105,
2026-07-22,0.075,
2026-07-28,0.11,
2026-08-05,0.095,
2026-08-12,0.085,
2026-08-19,0.085,
2026-08-26,0.075,
2026-09-02,0.175,
2026-09-09,0.225,
2026-09-16,0.195,
2026-09-23,0.185,
2026-09-24,0.155,274714
2026-09-25,0.155,275064.62
2026-09-26,0.165,275190.62
