date,p,n
2025-11-19,0.505,
2025-11-26,0.375,
2025-12-03,0.32,
2025-12-10,0.5,
2025-12-17,0.385,
2025-12-24,0.405,
2025-12-31,0.45,
2026-01-07,0.13,
2026-01-14,0.42,
2026-01-21,0.41,
2026-01-28,0.36,
2026-02-04,0.355,
2026-02-11,0.315,
2026-02-18,0.385,
2026-02-25,0.44,
2026-03-04,0.375,
2026-03-11,0.41,
2026-03-18,0.4,
2026-03-25,0.35,
2026-04-02,0.44,
2026-04-09,0.32,
2026-04-22,0.24,
2026-04-29,0.275,
2026-05-06,0.275,
2026-05-13,0.275,
2026-05-20,0.26,
2026-05-27,0.37,
2026-06-03,0.095,
2026-06-10,0.15,
2026-06-17,0.25,
2026-06-24,0.42,
2026-07-01,0.325,
2026-07-08,0.205,
2026-07-15,0.16,
2026-07-22,0.155,
2026-07-29,0.185,
2026-08-05,0.17,
2026-08-12,0.19,
2026-08-19,0.105,
2026-08-26,0.1,
2026-09-02,0.115,
2026-09-09,0.09,
2026-09-16,0.2,
2026-09-23,0.075,
2026-09-24,0.115,167407
2026-09-25,0.12,172446.9
